data;

param M := 30;
param G := 5;

# <id grupo> <valor>
param LIM_MIN :=
8 6 210.673
8 7 196.763
8 8 0
8 9 130.204
8 10 150.594
8 11 163.224
8 12 178.914
8 13 152.823
8 14 144.423
8 15 156.472
8 16 155.097
8 17 169.899
8 18 165.025
8 19 182.133
8 20 177.99
8 21 198.031
8 22 158.69
8 23 175.375
8 24 173.777
8 25 153.616
8 26 180.315
8 27 174.208
8 28 197.649
8 29 203.041
9 0 163.215
9 1 172.251
9 2 148.953
9 3 96.568
9 4 172.616
9 5 153.609
9 6 184.796
9 7 155.073
9 8 130.204
9 9 0
9 10 155.699
9 11 161.217
9 12 157.782
9 13 134.343
9 14 152.051
9 15 139.374
9 16 153.732
9 17 124.139
9 18 167.923
9 19 137.759
9 20 188.801
9 21 159.703
9 22 142.062
9 23 171.898
9 24 157.156
9 25 109.222
9 26 186.753
9 27 151.831
9 28 181.629
9 29 163.352
10 0 157.31
10 1 138.831
10 2 194.08
10 3 190.632
10 4 181.063
10 5 174.937
10 6 196.365
10 7 148.031
10 8 150.594
10 9 155.699
10 10 0
10 11 207.363
10 12 169.48
10 13 110.447
10 14 137.668
10 15 133.565
10 16 145.391
10 17 127.823
10 18 133.943
10 19 159.435
10 20 114.797
10 21 170.24
10 22 147.803
10 23 178.036
10 24 154.95
10 25 177.462
10 26 196.257
10 27 181.849
10 28 175.87
10 29 159.744
11 0 125.932
11 1 161.319
11 2 151.232
11 3 156.934
11 4 181.254
11 5 156.864
11 6 152.667
11 7 187.024
11 8 163.224
11 9 161.217
11 10 207.363
11 11 0
11 12 172.728
11 13 163.969
11 14 216.821
11 15 165.855
11 16 152.181
11 17 211.052
11 18 173.375
11 19 190.436
11 20 193.869
11 21 171.857
11 22 181.409
11 23 201.423
11 24 186.44
11 25 143.838
11 26 164.072
11 27 185.679
11 28 172.87
11 29 173.639
12 0 161.899
12 1 190.023
12 2 157.839
12 3 152.485
12 4 137.32
12 5 169.302
12 6 182.119
12 7 179.672
12 8 178.914
12 9 157.782
12 10 169.48
12 11 172.728
12 12 0
12 13 189.298
12 14 182.411
12 15 188.773
12 16 115.256
12 17 165.56
12 18 175.259
12 19 190.563
12 20 182.829
12 21 132.776
12 22 186.618
12 23 222.937
12 24 147.216
12 25 180.755
12 26 162.68
12 27 133.748
12 28 200.684
12 29 144.008
13 0 148.913
13 1 154.459
13 2 178.954
13 3 172.471
13 4 192.118
13 5 185.668
13 6 193.951
13 7 138.929
13 8 152.823
13 9 134.343
13 10 110.447
13 11 163.969
13 12 189.298
13 13 0
13 14 170.97
13 15 142.924
13 16 153.303
13 17 162.792
13 18 144.847
13 19 155.485
13 20 152.508
13 21 164.12
13 22 163.853
13 23 177.308
13 24 193.758
13 25 148.407
13 26 214.65
13 27 189.246
13 28 158.863
13 29 134.479
14 0 192.864
14 1 137.869
14 2 167.206
14 3 192.114
14 4 179.993
14 5 204.883
14 6 227.103
14 7 186.491
14 8 144.423
14 9 152.051
14 10 137.668
14 11 216.821
14 12 182.411
14 13 170.97
14 14 0
14 15 158.53
14 16 147.472
14 17 149.53
14 18 176.377
14 19 150.151
14 20 161.076
14 21 183.793
14 22 161.168
14 23 194.435
14 24 143.918
14 25 165.561
14 26 178.231
14 27 215.335
14 28 191.771
14 29 154.471
15 0 167.933
15 1 151.599
15 2 180.508
15 3 163.671
15 4 195.01
15 5 150.239
15 6 190.73
15 7 162.555
15 8 156.472
15 9 139.374
15 10 133.565
15 11 165.855
15 12 188.773
15 13 142.924
15 14 158.53
15 15 0
15 16 166.037
15 17 165.188
15 18 108.806
15 19 158.614
15 20 160.597
15 21 196.114
15 22 127.545
15 23 159.408
15 24 141.858
15 25 158.89
15 26 182.278
15 27 197.077
15 28 151.328
15 29 173.176
16 0 142.54
16 1 152.794
16 2 140.617
16 3 149.528
16 4 148.212
16 5 172.153
16 6 183.922
16 7 193.099
16 8 155.097
16 9 153.732
16 10 145.391
16 11 152.181
16 12 115.256
16 13 153.303
16 14 147.472
16 15 166.037
16 16 0
16 17 179.402
16 18 182.684
16 19 180.333
16 20 158.674
16 21 149.879
16 22 167.688
16 23 236.368
16 24 153.466
16 25 158.767
16 26 175.041
16 27 178.765
16 28 183.034
16 29 123.108
17 0 168.714
17 1 149.161
17 2 186.248
17 3 175.825
17 4 179.797
17 5 175.665
17 6 190.61
17 7 127.088
17 8 169.899
17 9 124.139
17 10 127.823
17 11 211.052
17 12 165.56
17 13 162.792
17 14 149.53
17 15 165.188
17 16 179.402
17 17 0
17 18 141.717
17 19 144.806
17 20 163.086
17 21 160.974
17 22 163.445
17 23 150.534
17 24 132.193
17 25 153.751
17 26 163.43
17 27 160.528
17 28 182.439
17 29 182.87
18 0 159.482
18 1 125.3
18 2 190.567
18 3 184.667
18 4 198.077
18 5 151.82
18 6 184.451
18 7 123.424
18 8 165.025
18 9 167.923
18 10 133.943
18 11 173.375
18 12 175.259
18 13 144.847
18 14 176.377
18 15 108.806
18 16 182.684
18 17 141.717
18 18 0
18 19 169.846
18 20 152.007
18 21 195.236
18 22 148.082
18 23 121.191
18 24 153.353
18 25 169.531
18 26 161.632
18 27 179.195
18 28 139.018
18 29 174.664
19 0 182.103
19 1 177.266
19 2 135.881
19 3 159.296
19 4 193.552
19 5 194.627
19 6 188.992
19 7 147.956
19 8 182.133
19 9 137.759
19 10 159.435
19 11 190.436
19 12 190.563
19 13 155.485
19 14 150.151
19 15 158.614
19 16 180.333
19 17 144.806
19 18 169.846
19 19 0
19 20 174.773
19 21 168.57
19 22 176.444
19 23 204.244
19 24 162.354
19 25 136.072
19 26 209.311
19 27 212.228
19 28 156.669
19 29 153.199
20 0 155.786
20 1 122.305
20 2 163.044
20 3 214.407
20 4 166.997
20 5 199.678
20 6 191.989
20 7 176.004
20 8 177.99
20 9 188.801
20 10 114.797
20 11 193.869
20 12 182.829
20 13 152.508
20 14 161.076
20 15 160.597
20 16 158.674
20 17 163.086
20 18 152.007
20 19 174.773
20 20 0
20 21 197.266
20 22 162.989
20 23 184.982
20 24 165.423
20 25 188.012
20 26 158.65
20 27 192.27
20 28 144.875
20 29 154.427
21 0 140.691
21 1 192.576
21 2 157.605
21 3 184.886
21 4 151.621
21 5 180.577
21 6 148.514
21 7 149.163
21 8 198.031
21 9 159.703
21 10 170.24
21 11 171.857
21 12 132.776
21 13 164.12
21 14 183.793
21 15 196.114
21 16 149.879
21 17 160.974
21 18 195.236
21 19 168.57
21 20 197.266
21 21 0
21 22 175.567
21 23 217.909
21 24 157.726
21 25 171.69
21 26 194.44
21 27 169.95
21 28 188.912
21 29 147.711
22 0 137.845
22 1 133.989
22 2 146.205
22 3 150.023
22 4 163.603
22 5 113.242
22 6 137.023
22 7 150.0
22 8 158.69
22 9 142.062
22 10 147.803
22 11 181.409
22 12 186.618
22 13 163.853
22 14 161.168
22 15 127.545
22 16 167.688
22 17 163.445
22 18 148.082
22 19 176.444
22 20 162.989
22 21 175.567
22 22 0
22 23 152.464
22 24 155.576
22 25 171.013
22 26 181.841
22 27 168.359
22 28 167.862
22 29 188.456
23 0 166.681
23 1 137.444
23 2 214.764
23 3 213.805
23 4 201.846
23 5 166.647
23 6 206.024
23 7 142.923
23 8 175.375
23 9 171.898
23 10 178.036
23 11 201.423
23 12 222.937
23 13 177.308
23 14 194.435
23 15 159.408
23 16 236.368
23 17 150.534
23 18 121.191
23 19 204.244
23 20 184.982
23 21 217.909
23 22 152.464
23 23 0
23 24 185.464
23 25 202.286
23 26 159.757
23 27 179.647
23 28 202.544
23 29 222.589
24 0 160.537
24 1 139.894
24 2 159.495
24 3 181.86
24 4 147.134
24 5 190.13
24 6 164.304
24 7 172.773
24 8 173.777
24 9 157.156
24 10 154.95
24 11 186.44
24 12 147.216
24 13 193.758
24 14 143.918
24 15 141.858
24 16 153.466
24 17 132.193
24 18 153.353
24 19 162.354
24 20 165.423
24 21 157.726
24 22 155.576
24 23 185.464
24 24 0
24 25 166.436
24 26 115.418
24 27 152.215
24 28 171.855
24 29 163.555
25 0 185.049
25 1 160.93
25 2 150.919
25 3 124.397
25 4 175.183
25 5 185.451
25 6 164.216
25 7 149.859
25 8 153.616
25 9 109.222
25 10 177.462
25 11 143.838
25 12 180.755
25 13 148.407
25 14 165.561
25 15 158.89
25 16 158.767
25 17 153.751
25 18 169.531
25 19 136.072
25 20 188.012
25 21 171.69
25 22 171.013
25 23 202.286
25 24 166.436
25 25 0
25 26 190.366
25 27 197.582
25 28 147.371
25 29 157.253
26 0 149.759
26 1 116.953
26 2 170.491
26 3 210.193
26 4 147.98
26 5 193.144
26 6 184.541
26 7 194.808
26 8 180.315
26 9 186.753
26 10 196.257
26 11 164.072
26 12 162.68
26 13 214.65
26 14 178.231
26 15 182.278
26 16 175.041
26 17 163.43
26 18 161.632
26 19 209.311
26 20 158.65
26 21 194.44
26 22 181.841
26 23 159.757
26 24 115.418
26 25 190.366
26 26 0
26 27 150.432
26 28 189.444
26 29 182.704
27 0 139.018
27 1 177.344
27 2 175.649
27 3 176.192
27 4 160.896
27 5 167.851
27 6 179.591
27 7 192.328
27 8 174.208
27 9 151.831
27 10 181.849
27 11 185.679
27 12 133.748
27 13 189.246
27 14 215.335
27 15 197.077
27 16 178.765
27 17 160.528
27 18 179.195
27 19 212.228
27 20 192.27
27 21 169.95
27 22 168.359
27 23 179.647
27 24 152.215
27 25 197.582
27 26 150.432
27 27 0
27 28 201.826
27 29 186.309
28 0 175.845
28 1 157.75
28 2 146.194
28 3 202.567
28 4 210.263
28 5 201.452
28 6 179.679
28 7 173.927
28 8 197.649
28 9 181.629
28 10 175.87
28 11 172.87
28 12 200.684
28 13 158.863
28 14 191.771
28 15 151.328
28 16 183.034
28 17 182.439
28 18 139.018
28 19 156.669
28 20 144.875
28 21 188.912
28 22 167.862
28 23 202.544
28 24 171.855
28 25 147.371
28 26 189.444
28 27 201.826
28 28 0
28 29 149.004
29 0 178.19
29 1 170.592
29 2 143.015
29 3 182.39
29 4 146.518
29 5 218.773
29 6 195.996
29 7 169.033
29 8 203.041
29 9 163.352
29 10 159.744
29 11 173.639
29 12 144.008
29 13 134.479
29 14 154.471
29 15 173.176
29 16 123.108
29 17 182.87
29 18 174.664
29 19 153.199
29 20 154.427
29 21 147.711
29 22 188.456
29 23 222.589
29 24 163.555
29 25 157.253
29 26 182.704
29 27 186.309
29 28 149.004
29 29 0
;

end;
